"","Frog_NF50|AER","Frog_NF50|BasalEctoderm","Frog_NF51|AER","Frog_NF51|BasalEctoderm","Frog_NF52|AER","Frog_NF52|BasalEctoderm","Frog_NF54|AER","Frog_NF54|BasalEctoderm","Axolotl_ST50|AER","Axolotl_ST50|BasalEctoderm","Axolotl_ST52|AER","Axolotl_ST52|BasalEctoderm","Axolotl_ST54|AER","Axolotl_ST54|BasalEctoderm","Mouse_E105|AER","Mouse_E105|BasalEctoderm","Mouse_E115|AER","Mouse_E115|BasalEctoderm","Mouse_E125|AER","Mouse_E125|BasalEctoderm","Mouse_E95|AER","Mouse_E95|BasalEctoderm","Human_CS13|AER","Human_CS13|BasalEctoderm","Chicken_E45|AER","Chicken_E45|BasalEctoderm"
"Frog_NF50|AER",0.988890471442815,0.0111095285571856,0.981008449315089,0.0189915506849105,0.965110124210229,0.0348898757897712,0.93959105199556,0.0604089480044398,0.923881061254655,0.0761189387453451,0.919902371669993,0.0800976283300077,0.900648108692177,0.0993518913078231,0.931780440989955,0.0682195590100447,0.890603330753692,0.109396669246308,0.903421677900213,0.0965783220997872,0.856433809218313,0.143566190781687,0.755981914090908,0.244018085909092,0.786218570234304,0.213781429765696
"Frog_NF50|BasalEctoderm",0.0111095285571856,0.988890471442814,0.0189915506849104,0.98100844931509,0.0348898757897711,0.965110124210229,0.0604089480044396,0.93959105199556,0.0761189387453453,0.923881061254655,0.0800976283300077,0.919902371669992,0.0993518913078232,0.900648108692177,0.0682195590100447,0.931780440989955,0.109396669246308,0.890603330753693,0.0965783220997872,0.903421677900213,0.143566190781687,0.856433809218313,0.244018085909092,0.755981914090908,0.213781429765696,0.786218570234304
"Frog_NF51|AER",0.981008449315089,0.0189915506849104,0.993824261494388,0.00617573850561216,0.973792748885367,0.0262072511146325,0.950330495151446,0.0496695048485536,0.940975068177186,0.0590249318228135,0.923372826635544,0.0766271733644556,0.915639372423321,0.0843606275766791,0.918308989370103,0.0816910106298973,0.869539464506363,0.130460535493637,0.901117959056702,0.0988820409432979,0.861665791890306,0.138334208109694,0.728134665625502,0.271865334374498,0.827946004981511,0.172053995018489
"Frog_NF51|BasalEctoderm",0.0189915506849105,0.98100844931509,0.00617573850561216,0.993824261494388,0.0262072511146326,0.973792748885367,0.0496695048485535,0.950330495151446,0.0590249318228135,0.940975068177187,0.0766271733644555,0.923372826635544,0.0843606275766791,0.91563937242332,0.0816910106298974,0.918308989370103,0.130460535493637,0.869539464506363,0.0988820409432979,0.901117959056702,0.138334208109694,0.861665791890306,0.271865334374498,0.728134665625502,0.172053995018489,0.827946004981511
"Frog_NF52|AER",0.965110124210229,0.0348898757897711,0.973792748885367,0.0262072511146326,0.989736070381232,0.0102639296187683,0.962972459858141,0.0370275401418585,0.941816825844933,0.0581831741550669,0.943324478226127,0.0566755217738736,0.919661003436525,0.0803389965634753,0.923645234853472,0.0763547651465278,0.93277369877064,0.0672263012293602,0.932622917960793,0.0673770820392066,0.838801403350146,0.161198596649854,0.775137036919878,0.224862963080122,0.784611343674273,0.215388656325727
"Frog_NF52|BasalEctoderm",0.0348898757897712,0.965110124210229,0.0262072511146325,0.973792748885367,0.0102639296187683,0.989736070381232,0.0370275401418587,0.962972459858142,0.0581831741550669,0.941816825844933,0.0566755217738736,0.943324478226126,0.0803389965634753,0.919661003436524,0.0763547651465277,0.923645234853472,0.0672263012293602,0.93277369877064,0.0673770820392067,0.932622917960793,0.161198596649854,0.838801403350146,0.224862963080122,0.775137036919878,0.215388656325727,0.784611343674273
"Frog_NF54|AER",0.93959105199556,0.0604089480044396,0.950330495151446,0.0496695048485535,0.962972459858141,0.0370275401418587,0.989698307579102,0.0103016924208978,0.928689066203675,0.0713109337963253,0.929349325848723,0.0706506741512766,0.919927138774902,0.0800728612250978,0.896558393776937,0.103441606223063,0.921657598615808,0.0783424013841918,0.923847847871598,0.0761521521284024,0.815076852046077,0.184923147953923,0.702586243877803,0.297413756122197,0.823992810620963,0.176007189379037
"Frog_NF54|BasalEctoderm",0.0604089480044398,0.93959105199556,0.0496695048485536,0.950330495151446,0.0370275401418585,0.962972459858142,0.0103016924208978,0.989698307579102,0.0713109337963254,0.928689066203675,0.0706506741512767,0.929349325848723,0.0800728612250979,0.919927138774902,0.103441606223063,0.896558393776937,0.0783424013841918,0.921657598615808,0.0761521521284025,0.923847847871598,0.184923147953923,0.815076852046077,0.297413756122197,0.702586243877803,0.176007189379037,0.823992810620963
"Axolotl_ST50|AER",0.923881061254655,0.0761189387453453,0.940975068177186,0.0590249318228135,0.941816825844933,0.0581831741550669,0.928689066203675,0.0713109337963254,0.99958864664747,0.000411353352530021,0.97794772486975,0.0220522751302504,0.947973988933931,0.0520260110660687,0.752101222773492,0.247898777226508,0.860231629425341,0.139768370574659,0.901236491703023,0.0987635082969769,0.716227889757302,0.283772110242698,0.680649130902938,0.319350869097062,0.719719484925993,0.280280515074007
"Axolotl_ST50|BasalEctoderm",0.0761189387453451,0.923881061254655,0.0590249318228135,0.940975068177187,0.0581831741550669,0.941816825844933,0.0713109337963253,0.928689066203675,0.000411353352530021,0.99958864664747,0.0220522751302506,0.977947724869749,0.0520260110660687,0.947973988933931,0.247898777226508,0.752101222773492,0.139768370574659,0.860231629425341,0.098763508296977,0.901236491703023,0.283772110242699,0.716227889757301,0.319350869097062,0.680649130902938,0.280280515074007,0.719719484925993
"Axolotl_ST52|AER",0.919902371669993,0.0800976283300077,0.923372826635544,0.0766271733644555,0.943324478226127,0.0566755217738736,0.929349325848723,0.0706506741512767,0.97794772486975,0.0220522751302506,0.991987492671487,0.00801250732851272,0.952814254007538,0.0471857459924622,0.873264592658769,0.126735407341231,0.934942910604498,0.0650570893955016,0.952235597162245,0.0477644028377553,0.775948113294215,0.224051886705785,0.810329232733005,0.189670767266995,0.680949736300902,0.319050263699098
"Axolotl_ST52|BasalEctoderm",0.0800976283300077,0.919902371669992,0.0766271733644556,0.923372826635544,0.0566755217738736,0.943324478226126,0.0706506741512766,0.929349325848723,0.0220522751302504,0.977947724869749,0.00801250732851272,0.991987492671487,0.0471857459924624,0.952814254007537,0.126735407341231,0.873264592658769,0.0650570893955017,0.934942910604498,0.0477644028377555,0.952235597162245,0.224051886705785,0.775948113294215,0.189670767266995,0.810329232733005,0.319050263699098,0.680949736300902
"Axolotl_ST54|AER",0.900648108692177,0.0993518913078232,0.915639372423321,0.0843606275766791,0.919661003436525,0.0803389965634753,0.919927138774902,0.0800728612250979,0.947973988933931,0.0520260110660687,0.952814254007538,0.0471857459924624,0.977656593198516,0.0223434068014846,0.840067022491796,0.159932977508204,0.882347612630209,0.117652387369791,0.913253335501414,0.086746664498586,0.702335493475876,0.297664506524124,0.765396470736801,0.234603529263199,0.747239688454934,0.252760311545065
"Axolotl_ST54|BasalEctoderm",0.0993518913078231,0.900648108692177,0.0843606275766791,0.91563937242332,0.0803389965634753,0.919661003436524,0.0800728612250978,0.919927138774902,0.0520260110660687,0.947973988933931,0.0471857459924622,0.952814254007537,0.0223434068014846,0.977656593198516,0.159932977508204,0.840067022491796,0.117652387369791,0.882347612630209,0.0867466644985862,0.913253335501414,0.297664506524124,0.702335493475876,0.234603529263199,0.765396470736801,0.252760311545066,0.747239688454934
"Mouse_E105|AER",0.931780440989955,0.0682195590100447,0.918308989370103,0.0816910106298974,0.923645234853472,0.0763547651465277,0.896558393776937,0.103441606223063,0.752101222773492,0.247898777226508,0.873264592658769,0.126735407341231,0.840067022491796,0.159932977508204,0.995555555555556,0.00444444444444443,0.953055360075064,0.0469446399249355,0.961513800922668,0.0384861990773321,0.915297401011687,0.0847025989883133,0.894050250772513,0.105949749227487,0.829418750057048,0.170581249942952
"Mouse_E105|BasalEctoderm",0.0682195590100447,0.931780440989955,0.0816910106298973,0.918308989370103,0.0763547651465278,0.923645234853472,0.103441606223063,0.896558393776937,0.247898777226508,0.752101222773492,0.126735407341231,0.873264592658769,0.159932977508204,0.840067022491796,0.00444444444444443,0.995555555555555,0.0469446399249355,0.953055360075064,0.0384861990773321,0.961513800922668,0.0847025989883133,0.915297401011687,0.105949749227487,0.894050250772513,0.170581249942952,0.829418750057048
"Mouse_E115|AER",0.890603330753692,0.109396669246308,0.869539464506363,0.130460535493637,0.93277369877064,0.0672263012293602,0.921657598615808,0.0783424013841918,0.860231629425341,0.139768370574659,0.934942910604498,0.0650570893955017,0.882347612630209,0.117652387369791,0.953055360075064,0.0469446399249355,0.980788177339902,0.0192118226600985,0.959533139274519,0.0404668607254815,0.835963109086841,0.164036890913159,0.88215885506057,0.11784114493943,0.798708029641632,0.201291970358368
"Mouse_E115|BasalEctoderm",0.109396669246308,0.890603330753693,0.130460535493637,0.869539464506363,0.0672263012293602,0.93277369877064,0.0783424013841918,0.921657598615808,0.139768370574659,0.860231629425341,0.0650570893955016,0.934942910604498,0.117652387369791,0.882347612630209,0.0469446399249355,0.953055360075064,0.0192118226600985,0.980788177339902,0.0404668607254815,0.959533139274518,0.164036890913159,0.835963109086841,0.11784114493943,0.88215885506057,0.201291970358368,0.798708029641632
"Mouse_E125|AER",0.903421677900213,0.0965783220997872,0.901117959056702,0.0988820409432979,0.932622917960793,0.0673770820392067,0.923847847871598,0.0761521521284025,0.901236491703023,0.098763508296977,0.952235597162245,0.0477644028377555,0.913253335501414,0.0867466644985862,0.961513800922668,0.0384861990773321,0.959533139274519,0.0404668607254815,0.979220779220779,0.0207792207792207,0.836960586554907,0.163039413445093,0.886623732764114,0.113376267235886,0.83283184662495,0.16716815337505
"Mouse_E125|BasalEctoderm",0.0965783220997872,0.903421677900213,0.0988820409432979,0.901117959056702,0.0673770820392066,0.932622917960793,0.0761521521284024,0.923847847871598,0.0987635082969769,0.901236491703023,0.0477644028377553,0.952235597162245,0.086746664498586,0.913253335501414,0.0384861990773321,0.961513800922668,0.0404668607254815,0.959533139274518,0.0207792207792207,0.979220779220779,0.163039413445093,0.836960586554907,0.113376267235886,0.886623732764114,0.16716815337505,0.83283184662495
"Mouse_E95|AER",0.856433809218313,0.143566190781687,0.861665791890306,0.138334208109694,0.838801403350146,0.161198596649854,0.815076852046077,0.184923147953923,0.716227889757302,0.283772110242699,0.775948113294215,0.224051886705785,0.702335493475876,0.297664506524124,0.915297401011687,0.0847025989883133,0.835963109086841,0.164036890913159,0.836960586554907,0.163039413445093,0.929093346740406,0.0709066532595945,0.74311442900574,0.25688557099426,0.753046885337248,0.246953114662752
"Mouse_E95|BasalEctoderm",0.143566190781687,0.856433809218313,0.138334208109694,0.861665791890306,0.161198596649854,0.838801403350146,0.184923147953923,0.815076852046077,0.283772110242698,0.716227889757301,0.224051886705785,0.775948113294215,0.297664506524124,0.702335493475876,0.0847025989883133,0.915297401011687,0.164036890913159,0.835963109086841,0.163039413445093,0.836960586554907,0.0709066532595945,0.929093346740406,0.25688557099426,0.74311442900574,0.246953114662752,0.753046885337248
"Human_CS13|AER",0.755981914090908,0.244018085909092,0.728134665625502,0.271865334374498,0.775137036919878,0.224862963080122,0.702586243877803,0.297413756122197,0.680649130902938,0.319350869097062,0.810329232733005,0.189670767266995,0.765396470736801,0.234603529263199,0.894050250772513,0.105949749227487,0.88215885506057,0.11784114493943,0.886623732764114,0.113376267235886,0.74311442900574,0.25688557099426,0.940839870789109,0.0591601292108906,0.682732846249425,0.317267153750575
"Human_CS13|BasalEctoderm",0.244018085909092,0.755981914090908,0.271865334374498,0.728134665625502,0.224862963080122,0.775137036919878,0.297413756122197,0.702586243877803,0.319350869097062,0.680649130902938,0.189670767266995,0.810329232733005,0.234603529263199,0.765396470736801,0.105949749227487,0.894050250772513,0.11784114493943,0.88215885506057,0.113376267235886,0.886623732764114,0.25688557099426,0.74311442900574,0.0591601292108906,0.940839870789109,0.317267153750575,0.682732846249425
"Chicken_E45|AER",0.786218570234304,0.213781429765696,0.827946004981511,0.172053995018489,0.784611343674273,0.215388656325727,0.823992810620963,0.176007189379037,0.719719484925993,0.280280515074007,0.680949736300902,0.319050263699098,0.747239688454934,0.252760311545066,0.829418750057048,0.170581249942952,0.798708029641632,0.201291970358368,0.83283184662495,0.16716815337505,0.753046885337248,0.246953114662752,0.682732846249425,0.317267153750575,0.975618171362852,0.0243818286371477
"Chicken_E45|BasalEctoderm",0.213781429765696,0.786218570234304,0.172053995018489,0.827946004981511,0.215388656325727,0.784611343674273,0.176007189379037,0.823992810620963,0.280280515074007,0.719719484925993,0.319050263699098,0.680949736300902,0.252760311545065,0.747239688454934,0.170581249942952,0.829418750057048,0.201291970358368,0.798708029641632,0.16716815337505,0.83283184662495,0.246953114662752,0.753046885337248,0.317267153750575,0.682732846249425,0.0243818286371477,0.975618171362852
